Tm,Wins_18,Wins_19,Wins_20,Wins_21,Wins_22
ATL,29,20,41,43,41
BOS,49,48,36,51,57
BRK,42,35,48,44,45
CHO,39,23,33,43,27
CHI,22,22,31,46,51
CLE,19,19,22,44,40
DAL,33,43,42,52,38
DEN,54,46,47,48,53
DET,41,20,20,23,17
GSW,57,15,39,53,44
HOU,53,44,17,20,22
IND,48,45,34,25,35
LAC,48,49,47,42,44
LAL,37,52,42,33,43
MEM,33,34,38,56,51
MIA,39,44,40,53,44
MIL,60,56,46,51,58
MIN,36,19,23,46,42
NOP,33,30,31,36,42
NYK,17,21,41,37,47
OKC,49,44,22,24,40
ORL,42,33,21,22,34
PHI,51,43,49,51,54
PHO,19,34,51,64,45
POR,53,35,42,27,33
SAC,39,31,31,30,48
SAS,48,32,33,34,22
TOR,58,53,27,48,41
UTA,50,44,52,49,37
WAS,32,25,34,35,35
